Symbol,Year,PDF URL
2010,2024,https://www.saudiexchange.sa/Resources/fsPdf/381_0_2025-03-05_16-24-37_En.pdf
2010,2023,https://www.saudiexchange.sa/Resources/fsPdf/381_0_2024-03-06_16-02-20_En.pdf
2010,2022,https://www.saudiexchange.sa/Resources/fsPdf/381_0_2023-03-07_08-50-30_En.pdf
2010,2021,https://www.saudiexchange.sa/Resources/fsPdf/381_0_2022-03-13_14-33-09_En.pdf
