symbol,company_name,foreign_ownership,max_allowed,investor_limit
4339,دراية ريت,100.0%,4.34%,0.0%
4340,الراجحي ريت,100.0%,8.92%,0.0%
4342,جدوى ريت السعودية,100.0%,4.46%,0.0%
4344,سدكو كابيتال ريت,100.0%,1.77%,0.0%
4345,الإنماء ريت للتجزئة,100.0%,2.88%,0.0%
4346,ميفك ريت,100.0%,0.42%,0.0%
4347,بنيان ريت,100.0%,0.97%,0.0%
4348,الخبير ريت,100.0%,2.58%,0.0%
4349,الإنماء ريت الفندقي,100.0%,2.72%,0.0%
4350,الإستثمار ريت,100.0%,0.56%,0.0%
9300,الواحة ريت,100.0%,0.03%,0.0%
4020,العقارية,49.0%,5.16%,0.0%
4090,طيبة,49.0%,2.13%,0.0%
4100,مكة,49.0%,5.99%,0.0%
4150,التعمير,49.0%,6.25%,0.0%
4220,إعمار,49.0%,4.34%,0.0%
4230,البحر الأحمر,49.0%,2.64%,0.0%
4250,جبل عمر,49.0%,5.93%,0.0%
4300,دار الأركان,49.0%,10.06%,0.0%
4310,مدينة المعرفة,49.0%,1.02%,0.0%
4320,الأندلس,49.0%,2.24%,0.0%
4321,سينومي سنترز,49.0%,9.96%,0.0%
4322,رتال,49.0%,9.62%,0.0%
4323,سمو,49.0%,1.87%,0.0%
4324,بنان,49.0%,0.91%,0.0%
4325,مسار,49.0%,1.06%,0.0%
9521,إنماء الروابي,49.0%,0.12%,0.0%
9535,لدن,49.0%,0.15%,0.0%
9591,فيو,49.0%,0.09%,0.0%
9610,الجادة الأولى,49.0%,0.02%,0.0%
9634,أدير,49.0%,0.72%,0.0%
4700,الخبير للدخل,100.0%,2.25%,0.0%
4701,الخبير للنمو والدخل,100.0%,3.03%,0.0%
4702,الخبير للدخل 2030,100.0%,4.57%,0.0%
4703,سدكو متعدد الأصول,100.0%,3.36%,0.0%
9400,صندوق يقين 30,100.0%,2.63%,0.0%
9401,صندوق يقين للبتروكيماويات,100.0%,4.68%,0.0%
9402,صندوق الأول للاستثمار الكمي المتداول,100.0%,5.11%,0.0%
9403,صندوق البلاد للصكوك السيادية,100.0%,1.8%,0.0%
9404,صندوق الإنماء للصكوك الحكومية,100.0%,0.02%,0.0%
9405,صندوق البلاد للذهب,100.0%,24.74%,0.0%
9406,صندوق البلاد الأمريكي,100.0%,4.57%,0.0%
9407,صندوق البلاد التقني الأمريكي,100.0%,8.53%,0.0%
9408,صندوق البلاد للنمو السعودي,100.0%,7.25%,0.0%
9409,صندوق يقين إي إس جي,100.0%,0.51%,0.0%
9410,صندوق البلاد هونج كونج الصين,100.0%,99.88%,0.0%
9411,صندوق الأول للاستثمار هونج كونج,100.0%,99.49%,0.0%
